repo_fullname,commits_avg_added,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day_real,commits_avg_removed,commits_count,commits_days_since_first,commits_days_since_last,commits_max_per_day,commits_total_lines_added,commits_total_lines_removed,contributors_count,contributors_top_avg_additions,contributors_top_avg_commits,contributors_top_avg_deletions,contributors_top_avg_participation_week,forks_avg_max_per_day,forks_count,issues_avg_body_length,issues_avg_comment_length,issues_avg_comments,issues_avg_labels,issues_avg_per_day,issues_avg_per_day_real,issues_avg_title_length,issues_count,issues_labels,issues_max_per_day,issues_open,issues_total_comments,pulls_avg_body_length,pulls_avg_comments,pulls_avg_Commits,pulls_avg_created_per_day_real,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_review_comments,pulls_avg_title_length,pulls_count,pulls_max_created_per_day,pulls_total_lines_added,pulls_total_lines_removed,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,releases_avg_body_length,releases_avg_title_length,releases_count,releases_tags,releases_total_downloads,repo_age_days,repo_branches,repo_deployments,repo_languages,repo_milestones,repo_network_members,repo_readme_length,repo_size,repo_topics,repo_watchers,repo_workflows,stars_avg_per_day_real,stars_count,stars_max_per_day,wf_avg_duration,wf_avg_fails_per_day,wf_avg_failure_duration,wf_avg_success_duration,wf_avg_successes_per_day_real,wf_count,labels
auduno/clmtools,491,4,82,2,54,42,3101,1800,5,20628,2259,3,551,13,93,3,1,55,494,334,1,0,0,1,37,17,0,2,10,23,0,0,2,1,6,0,44,7,0,16,1,1,44,7,0,0,0,0,0,0,0,0,3004,2,1,4,0,55,3589,1566,0,148,0,1,148,3,0,0,0,0,0,0,1
eosasia/eospixels,4175,12,59,1,51,4,1294,1278,1,16699,202,2,4174,2,50,1,8,78,56,92,1,0,0,1,27,5,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,2,0,3,0,79,2562,504,0,142,0,2,142,13,0,0,0,0,0,0,1
google/xpaf,685,11,34,2,75,17,2771,2134,5,11639,1281,1,684,17,75,5,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2772,1,0,9,0,60,1645,477,0,142,0,1,142,2,0,0,0,0,0,0,1
noeticpenguin/ngForce,1,1,65,1,1,1,1895,1895,1,1,1,8,507,7,297,3,2,57,0,393,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3245,4,0,2,0,58,0,2001,0,145,0,1,145,4,0,0,0,0,0,0,0
mampfes/hacs_waste_collection_schedule,58,3,59,3,17,441,722,4,13,25491,7328,58,68,5,32,1,3,68,564,291,1,0,0,1,33,195,6,6,8,378,252,0,3,1,3,0,242,0,8,43,2,1,484,0,0,0,0,175,5,25,25,0,722,2,0,1,0,68,22439,991,19,145,1,1,145,3,0.061533565,0,0.000929543,0.060604022,1,16,1
pixel-point/web3js-tracker-example,1248,4,32,1,1,3,1400,1381,1,3744,2,2,1248,1,0,1,2,74,248,38,0,0,0,1,20,6,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397,1,0,1,0,74,951,35,4,142,0,1,142,3,0,0,0,0,0,0,1
adulau/ssldump,180,3,52,3,122,250,2617,26,13,45005,30491,9,203,22,105,4,2,65,334,228,1,0,0,1,33,59,16,3,8,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4522,39,4,4,0,2617,1,32,9,0,69,3943,645,9,149,3,1,149,7,0.019861111,0,0.001435185,0.018425926,3,4,1
marco-rudolph/differnet,4,1,99,1,1,1,205,205,1,4,1,1,94,9,4,7,3,49,0,280,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,1,0,1,0,53,0,92,0,150,0,1,150,5,0,0,0,0,0,0,1
jgromes/LoRaLib,1,1,13,1,3,1,634,634,1,1,3,6,73,60,46,12,2,50,0,421,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1894,2,0,1,0,54,0,716,15,146,0,1,146,2,0,0,0,0,0,0,1
anudeepND/youtubeadsblacklist,8885,3,41,1,1,1,1614,1614,1,8885,1,2,745,69,570,3,2,86,0,122,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736,1,0,1,0,90,0,214,6,145,0,1,145,2,0,0,0,0,0,0,1
Anthony-Tatowicz/docker-ethminer,6,1,38,3,4,40,2088,1572,9,245,164,4,6,8,4,3,2,56,405,291,2,0,0,1,42,11,0,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2088,1,0,0,0,61,1168,63,0,148,0,1,148,3,0,0,0,0,0,0,1
csersoft/HWFW_GUI,8,2,17,2,10,2,1076,1076,2,15,20,1,312,46,135,13,2,56,159,62,2,0,0,1,27,8,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,3827,82,19,4,4,104,1988,1,0,2,0,56,1654,306,0,145,0,1,145,3,0,0,0,0,0,0,1
sveale/remote-edit,1,1,21,1,1,1,1864,1864,1,1,1,14,18,22,11,3,2,56,0,310,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2871,2,0,3,0,61,0,747,0,143,0,1,100,3,0,0,0,0,0,0,1
xinghongfei/android-studio-setting,5,1,13,2,0,6,2040,2032,3,32,1,1,5,6,0,2,5,61,35,81,2,0,0,1,12,5,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,1,0,0,0,61,926,532,0,145,0,1,145,8,0,0,0,0,0,0,1
luoyesiqiu/DexRepair,5597,39,12,1,5344,16,534,183,2,89547,85511,1,5969,15,5700,9,4,51,131,139,5,0,0,1,9,7,0,1,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,1,0,1,0,58,172,1727,0,142,0,1,142,14,0,0,0,0,0,0,1
LambdaWx/CNN_sentence_tensorflow,115,1,23,2,10,6,1947,1940,3,690,59,1,24,5,11,2,3,88,386,17,1,0,0,1,19,9,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1,0,1,0,88,4398,16,0,142,0,1,142,2,0,0,0,0,0,0,1
amitness/ml-datasets,2,1,29,2,0,67,1344,267,11,137,27,4,2,15,0,7,2,54,73,98,0,0,0,1,29,10,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,1,27,0,0,58,7529,121,3,148,0,1,148,13,0,0,0,0,0,0,1
hex-ci/CodeIgniter-HMVC,7284,30,19,4,62,32,3694,1735,11,233096,1974,2,7471,15,70,4,2,57,256,113,2,0,0,1,27,8,2,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5039,2,0,3,0,57,4143,974,3,142,0,1,142,5,0,0,0,0,0,0,0
bitluni/ESP32CameraI2S,62,3,133,2,6,19,1583,910,5,1173,110,4,171,3,96,1,1,49,459,757,2,0,0,1,31,23,0,2,16,54,426,0,1,1,1,0,1,1,0,4,1,1,1,1,0,0,0,0,0,0,0,0,1583,1,0,2,0,56,894,110,0,144,0,1,144,3,0,0,0,0,0,0,1
diervo/html5rubik,1428,9,16,3,73,15,3596,302,5,21413,1100,1,2106,10,66,3,2,66,187,275,1,0,0,1,18,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3596,1,0,5,0,66,428,538,0,142,0,1,142,39,0,0,0,0,0,0,0
GoogleCloudPlatform/protoc-gen-bq-schema,85,3,72,3,44,120,2880,11,12,10245,5299,12,62,7,27,2,2,53,434,284,3,0,0,1,37,31,0,2,2,98,473,6,1,1,1,0,13,1,0,30,2,1,27,3,4,197,6381110,104,22,1,1,791,2782,2,0,2,0,58,4451,194,0,144,1,1,144,4,0.006487269,0,0.002997685,0.003489583,1,2,0
developerworks/hierarchy-data-closure-table,60,3,38,3,11,25,3244,1634,13,1495,284,2,3,1,2,1,2,53,252,324,1,0,0,1,36,17,0,2,8,30,103,0,2,1,2,0,2,2,0,47,1,1,2,2,0,0,0,0,0,0,0,0,3244,1,0,2,0,54,2124,208,3,149,0,1,149,2,0,0,0,0,0,0,0
phpdocker-io/base-images,38,1,39,1,29,1,52,52,1,38,29,3,26,56,14,14,1,54,0,330,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2235,1,0,2,0,55,0,171,0,141,0,1,141,4,0,0,0,0,0,0,0
Tuluobo/Leiter,10,6,25,1,52,1,600,600,1,10,52,1,228,43,91,9,15,53,0,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,1,0,2,0,54,0,719,3,142,0,2,142,25,0,0,0,0,0,0,1
llSourcell/how_to_convert_text_to_images,973,12,17,4,13,4,1798,1798,4,3892,52,1,973,4,13,1,3,68,889,164,1,0,0,1,39,7,0,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798,1,0,1,0,68,5608,1739,0,148,0,1,148,17,0,0,0,0,0,0,0
appcoda/SocketIOChat,1416,12,19,4,0,4,2231,2231,4,5665,0,1,1,3,0,1,2,73,398,37,0,0,0,1,30,7,0,1,6,4,0,1,1,1,38,0,2313,2064,0,15,1,1,2313,2064,0,0,0,0,0,0,0,0,2231,1,0,1,0,75,369,978,0,148,0,1,148,3,0,0,0,0,0,0,0
squix78/MAX7219LedMatrix,85,2,45,3,33,13,2542,2394,6,1106,426,2,74,6,18,2,2,62,254,223,2,0,0,1,32,16,0,1,12,33,154,1,2,1,2,0,75,44,0,43,6,1,451,265,0,0,0,0,0,0,0,0,2542,1,0,2,0,70,2254,150,0,148,0,1,148,2,0,0,0,0,0,0,0
FormstoneClassic/Boxer,82,5,54,2,44,113,3415,2554,10,9322,4952,2,109,40,58,15,2,77,137,146,0,0,0,1,38,8,5,1,1,6,0,0,1,1,1,0,3,3,0,65,1,1,3,3,0,0,0,0,0,0,0,0,3415,2,0,3,0,78,537,1499,0,147,0,1,147,6,0,0,0,0,0,0,0
jgraph/drawio-integration,1,1,69,1,0,1,50,50,1,1,0,1,46,48,12,15,2,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2194,1,0,2,0,63,0,178,0,146,0,0,0,0,0.000659722,0,0,0.000659722,2,2,1
WindRiver-Labs/wrlinux-x,18,1,217,3,8,1264,2009,39,19,22303,9504,23,7,39,3,14,2,61,2106,269,0,0,0,1,60,17,0,2,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,69,0,6,0,61,3506,1125,0,148,0,1,148,3,0,0,0,0,0,0,1
tuminoid/gitlab-installer,4,1,81,1,4,1,1209,1209,1,4,4,6,8,10,7,5,3,49,0,762,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3111,3,0,1,0,51,0,100,0,145,0,1,145,2,0,0,0,0,0,0,1
jetstack/terraform-google-gke-cluster,29,2,99,3,14,149,1114,575,15,4298,2130,8,33,13,16,3,2,71,284,317,3,1,0,1,36,80,158,8,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,9,5,5,0,1074,29,0,2,0,73,3928,175,5,146,0,1,146,3,0,0,0,0,0,0,1
BernhardZuba/d3js-orgchart,140,2,19,1,1,4,2145,1758,2,561,5,1,12,2,1,2,2,58,412,111,0,0,0,1,45,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2145,1,0,2,0,58,689,6,0,147,0,1,147,2,0,0,0,0,0,0,0
jaredhanson/passport-linkedin,29,2,42,3,5,39,3806,1042,11,1121,209,5,37,7,11,2,2,70,494,209,2,0,0,1,31,30,0,1,13,64,0,0,2,1,2,0,23,11,0,26,2,1,46,22,0,0,0,0,0,0,0,0,3806,1,0,2,0,71,3783,38,0,142,0,1,142,11,0,0,0,0,0,0,1
dimitri/emacs-kicker,15,1,70,2,3,24,4004,2793,4,357,81,4,16,5,3,2,2,48,945,257,2,0,0,1,39,11,0,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004,1,0,1,0,52,2137,170,0,142,0,1,142,63,0,0,0,0,0,0,0
jackmitch/libsoc,73,2,95,2,24,282,3135,423,21,20459,6856,26,72,7,32,2,1,63,288,449,2,0,0,1,36,107,13,3,6,290,44,4,60,1,28,0,2077,128,1,28,1,1,2077,128,0,0,0,0,0,0,0,0,3135,2,2,5,0,82,5153,929,0,146,0,1,146,2,0,0,0,0,0,0,1
gunesmes/page-object-python-selenium,28,3,41,1,13,24,2565,364,5,675,310,3,39,6,22,3,2,83,53,65,0,0,0,1,19,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565,1,0,1,0,83,2298,27,0,149,0,1,149,3,0,0,0,0,0,0,1
Jhuster/TLV,167,5,28,2,57,27,2311,1462,4,4513,1539,2,268,11,139,4,2,76,27,82,0,0,0,1,36,9,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2311,1,0,3,0,76,712,78,0,149,0,1,149,3,0,0,0,0,0,0,1
mozilla/lean-data-practices,0,1,32,1,2,1,2255,2255,1,0,2,3,2,5,0,1,4,60,0,203,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264,1,0,0,0,61,0,60,2,142,0,1,142,4,0,0,0,0,0,0,0
googlearchive/appengine-endpoints-helloendpoints-python,671,2,32,2,11,24,3147,2171,5,16097,275,4,396,5,8,2,2,78,141,340,0,0,0,1,39,11,0,4,8,6,98,0,1,1,1,0,1,1,0,34,2,1,2,2,0,0,0,0,0,0,0,0,3147,1,0,3,0,78,3701,56,0,142,0,1,142,2,0,0,0,0,0,0,1
hackintosh-stuff/ComboJack,23,3,51,1,7,18,1200,139,3,417,134,7,283,4,57,1,2,49,0,306,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223,1,0,5,0,61,0,1513,3,145,0,1,145,3,0,0,0,0,0,0,1
Shashank02051997/BusBookingUI-Android,251,10,28,2,22,15,1147,239,4,3765,337,2,75,3,70,2,3,83,70,107,3,0,0,1,19,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,1,0,1,0,85,1862,1328,12,148,0,1,148,6,0,0,0,0,0,0,0
asdud/Bigdata_project,155,12,133,2,17,23,1256,438,6,3574,395,1,323,11,34,7,2,68,4015,0,0,1,0,1,56,7,7,2,1,0,2512,0,1,1,1,1,1,1,0,62,1,1,1,1,0,0,0,0,0,0,0,0,1256,2,0,2,0,68,866,248,0,148,0,1,148,2,0,0,0,0,0,0,1
viezel/napp.alloy.adapter.restsql,55,1,61,2,30,151,3340,2064,6,8230,4505,14,64,7,38,4,2,68,214,175,1,0,0,1,40,41,0,2,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3340,1,0,1,0,72,16228,354,0,147,0,1,147,3,0,0,0,0,0,0,1
ThijsFeryn/elasticsearch_tutorial,1069,5,39,2,531,23,2208,1418,6,24577,12222,2,37,1,33,1,2,63,414,81,0,0,0,1,22,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2208,2,0,0,0,64,10733,99,4,146,0,1,146,3,0,0,0,0,0,0,0
rubygarage/react-native-firebase-chat,870,11,61,3,386,59,1698,899,8,51326,22762,2,24,10,10,1,2,60,2767,119,0,0,0,1,33,34,19,4,12,23,5104,0,1,1,1,1,5,6,0,34,10,3,54,65,0,0,0,0,0,0,0,0,1698,12,0,4,0,60,1337,1780,5,147,0,1,147,3,0,0,0,0,0,0,0
robcowart/docker_compose_cookbook,153,2,20,3,9,67,1175,870,13,10263,634,1,154,67,10,17,2,56,595,0,0,0,0,1,44,2,0,1,2,0,91,0,1,1,1,0,3,0,0,25,1,1,3,0,0,0,0,0,0,0,0,0,1175,1,0,0,0,57,188,225,2,143,0,1,143,3,0,0,0,0,0,0,0
flutter/tests,1,1,34,1,2,1,2,2,1,1,2,37,12,3,2,2,3,64,0,203,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,2,0,3,0,64,0,128,0,141,0,1,100,8,0,0,0,0,0,0,0
mila-iqia/blocks-examples,48,2,42,3,14,215,2513,2048,16,10280,2959,17,46,9,17,2,2,89,667,361,3,0,0,1,38,111,5,3,32,415,143,4,2,1,3,0,77,325,1,35,5,1,388,1627,0,0,0,0,0,0,0,0,2513,13,0,1,0,96,1916,531,0,147,0,1,147,3,0,0,0,0,0,0,1
xiaochus/Deep-Reinforcement-Learning-Practice,622,5,19,1,11,14,1252,1071,3,8703,159,1,705,14,95,7,2,72,179,119,0,0,0,1,26,5,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,1,0,1,0,73,1433,1225,0,145,0,1,145,3,0,0,0,0,0,0,0
kawankoding/laravel-fcm,16,2,50,2,10,89,1857,256,7,1410,850,15,22,3,15,2,2,52,282,165,1,0,0,1,29,59,0,6,11,76,53,0,1,1,1,0,1,1,0,21,1,1,1,1,0,0,0,28,18,25,25,0,1857,2,0,1,0,53,3133,63,8,148,0,1,148,4,0,0,0,0,0,0,1
justincavery/am-i-responsive,21,1,70,1,0,1,1316,1316,1,21,0,2,97,5,16,2,2,75,0,167,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3338,1,0,2,0,76,0,271,0,143,0,1,143,3,0,0,0,0,0,0,1
ferhatelmas/sexmachine,8,1,19,1,0,1,3253,3253,1,8,0,1,12475,4,7,2,1,38,0,113,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3271,1,0,1,0,70,0,563,0,146,0,1,146,15,0,0,0,0,0,0,0
smira/txZMQ,26,2,63,3,10,216,3992,3,9,5616,2134,16,18,5,10,2,2,52,491,232,3,0,0,1,38,89,4,7,7,267,968,2,10,1,11,0,362,103,0,67,2,1,725,207,0,0,0,84,5,4,4,0,3992,5,0,2,0,54,2494,179,3,148,1,1,148,48,0.03375,0,0.013547454,0.020202546,7,2,1
groupon/spark-metrics,2,1,61,1,2,1,1962,1962,1,2,2,1,364,6,3,2,2,53,0,346,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2170,2,0,1,0,55,0,44,0,146,0,1,146,2,0,0,0,0,0,0,1
JDaren/subtitleConverter,42,6,106,1,5,1,1590,1590,1,42,5,9,791,6,276,2,1,55,0,204,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3359,1,0,3,0,58,0,575,0,143,0,1,143,2,0,0,0,0,0,0,1
neuleaf/MobileNetV2,127,4,13,2,90,22,1523,1060,5,2803,1989,0,0,0,0,0,2,76,366,94,1,0,0,1,30,17,0,1,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,1,0,1,0,78,1022,40,0,147,0,1,147,2,0,0,0,0,0,0,0
phihag/pdfform.js,1078,3,38,4,543,82,2322,1071,11,88434,44505,2,1081,41,546,6,2,61,558,202,2,0,0,1,35,40,0,2,30,95,1528,0,2,1,2,0,6,4,0,35,6,1,36,26,0,0,0,0,0,0,0,0,2316,3,38,2,0,62,1797,1688,0,142,0,1,142,2,0,0,0,0,0,0,0
naro143/hugo-coder-portfolio,109,4,32,3,19,58,1337,575,9,6329,1104,5,80,1,1,1,2,64,325,181,1,0,0,1,37,39,0,4,12,48,10,0,1,1,2,0,3,1,0,36,2,1,7,3,0,0,0,0,0,0,0,0,1337,3,0,3,0,64,6923,433,0,147,0,1,147,2,0,0,0,0,0,0,1
philnash/mediadevices-camera-selection,1699,2,163,2,785,46,1457,32,12,78168,36098,1,4332,18,1996,10,2,60,3550,407,2,0,0,1,38,28,17,6,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1457,3,23,3,0,60,2856,1820,4,146,1,1,146,4,0.002638889,0,0.000711806,0.001927083,1,2,1
esdalmaijer/markovbot,342,1,184,3,7,33,2220,1617,9,11274,236,2,527,13,175,5,2,61,504,295,1,0,0,1,31,13,4,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2220,1,0,1,0,61,1263,171,0,142,0,1,142,3,0,0,0,0,0,0,0
jkoelker/python-nest,1,1,5,1,1,1,52,52,1,1,1,37,22,8,12,2,2,52,0,255,0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,6,4,4,0,2801,3,0,1,0,58,0,350,0,144,0,1,144,3,0,0,0,0,0,0,0
PacktPublishing/Hands-On-Software-Architecture-with-Golang,0,1,18,1,5,1,441,441,1,0,5,2,188,9,175,1,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,2,0,1,0,69,0,48,0,141,0,0,0,0,0,0,0,0,0,0,0
edisongz/IndoorMapScene,507,11,39,2,292,18,3076,1816,4,9129,5251,1,563,10,285,4,3,82,71,0,0,0,0,1,21,3,0,1,2,0,204,0,1,1,1,0,1,1,0,37,1,1,1,1,0,0,0,0,0,0,0,0,3076,1,0,2,0,84,1304,1395,0,147,0,1,147,4,0,0,0,0,0,0,1
tommenx/wxss,36534,125,11,1,1,4,1462,1074,2,146136,2,1,21,1,0,1,1,54,33,72,1,0,0,1,18,9,0,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462,1,0,4,0,54,2015,1537,1,142,0,1,142,2,0,0,0,0,0,0,0
Mischback/django-project-skeleton,74,4,60,8,16,107,2600,810,22,7921,1726,1,39,80,13,7,1,55,444,328,3,0,0,1,35,7,1,1,3,26,1134,0,57,1,26,0,891,195,0,35,2,1,1782,391,0,0,0,0,0,0,0,0,2596,3,0,3,0,56,1459,222,4,142,0,1,142,3,0,0,0,0,0,0,0
bcwik9/robinhood-on-rails,30,3,41,4,10,238,1850,640,15,7099,2345,4,29,55,10,7,2,55,3375,209,1,0,0,1,37,66,19,7,17,94,8312,0,1,1,1,0,2,1,0,36,9,1,24,17,0,0,0,0,0,0,0,0,1850,9,0,6,0,56,5105,330,13,141,0,1,141,9,0,0,0,0,0,0,1
rust-bitcoin/rust-wallet,73,2,39,3,43,162,1377,384,10,11818,7024,8,78,19,47,3,2,59,858,299,1,0,0,1,39,32,0,2,8,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,1,0,1,0,67,7735,243,0,143,0,1,143,4,0,0,0,0,0,0,0
cod3rcursos/curso-c-sharp,1604,43,18,2,0,3,1388,1368,2,4812,1,1,1604,3,0,2,2,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,1,0,1,0,87,19,1262,0,147,0,1,147,3,0,0,0,0,0,0,1
Tai7sy/vs-obfuscation,230,4,13,2,58,5,1438,1163,3,1152,291,1,285,4,72,2,5,57,115,194,2,0,0,1,54,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438,1,0,1,0,67,273,1217,0,149,0,1,149,7,0,0,0,0,0,0,0
wlmnzf/oranges,347205,300,3,1,0,1,1735,1735,1,347205,0,1,347205,1,0,1,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735,1,0,8,0,89,0,2071,0,149,0,1,149,2,0,0,0,0,0,0,0
OpenGenus/cosmos-search,61,3,65,3,27,334,1608,1126,17,20484,9089,17,55,11,29,2,3,74,826,185,2,0,0,1,32,157,50,8,31,419,1429,3,6,1,6,0,131,25,1,26,18,2,2365,467,0,0,0,0,0,0,0,0,1633,4,0,3,0,76,5486,1103,7,145,0,1,145,8,0,0,0,0,0,0,0
coldhakca/tor-relay-bootstrap,25,2,53,3,5,52,2680,1563,16,1324,273,7,28,5,4,1,2,46,495,130,1,0,0,1,30,34,10,4,11,35,102,0,1,1,1,0,0,2,0,50,1,1,0,2,0,0,0,0,0,0,0,0,2680,2,0,1,1,67,1100,50,0,142,0,1,142,5,0,0,0,0,0,0,0
abuanwar072/Flutter-Custom-Animation-Grocery-App,621,20,10,2,59,7,239,236,3,4348,414,1,627,7,65,2,12,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,3,0,6,0,57,675,1569,0,142,0,2,142,32,0,0,0,0,0,0,0
hashicorp/boundary-reference-architecture,196,6,77,2,9,41,535,52,5,8029,389,14,270,2,42,1,3,67,405,249,1,0,0,1,42,76,18,3,17,82,91,1,1,1,2,0,25,14,0,34,7,2,178,102,0,0,0,0,0,0,0,0,560,16,0,4,0,69,866,330,0,149,0,1,149,9,0,0,0,0,0,0,1
bohanyang/onemirror,1,3,13,1,4,1,974,974,1,1,4,2,51,14,30,6,2,44,0,178,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2232,1,0,1,0,60,0,35,0,144,0,1,144,17,0,0,0,0,0,0,0
jitsi/turnserver,522,6,85,1,56,1,2338,2338,1,522,56,6,170,19,93,2,2,85,0,179,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2894,1,0,1,0,85,0,1375,0,146,0,1,146,2,0,0,0,0,0,0,1
big-data-europe/docker-flink,20,5,42,2,11,112,2263,102,7,2279,1233,5,20,16,10,8,1,70,295,730,0,0,0,1,38,21,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263,47,0,2,0,71,3939,155,0,149,1,1,149,2,0.015017361,0,0.000289352,0.014728009,5,2,0
weseek/growi-docker-compose,81,5,29,1,2,1,8,8,1,81,2,14,13,13,7,4,2,65,0,299,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1826,2,0,2,0,68,0,145,3,146,0,1,146,3,0,0,0,0,0,0,0
